animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,predicted,probability,correct
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999751161329995,CORRECT
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999659544525,CORRECT
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0.9999999999787267,CORRECT
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,0.9999988270285828,CORRECT
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2,0.9999999999787267,CORRECT
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,0.9999999840322746,CORRECT
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,0.9999999986037448,CORRECT
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,2,0.9999974897973198,CORRECT
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999659544525,CORRECT
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,1,0.999999675292194,CORRECT
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999659544525,CORRECT
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,3,0.8748958866802714,wrong
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,2,0.9999971546433928,CORRECT
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4,0.9999626136356434,CORRECT
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,4,0.9999751161329995,CORRECT
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,3,0.9999980300375625,CORRECT
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,1,0.5268671464883707,CORRECT
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,0.9999999659544525,CORRECT
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,1,0.999999999644863,CORRECT
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,1,0.9999999998332875,CORRECT
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2,0.9999999982464625,CORRECT
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0.9465510463097436,CORRECT
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4,0.999979188027279,CORRECT
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,1,0.9999999917238849,CORRECT
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,4,0.9851748009877915,CORRECT
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,5,0.9884555670516563,CORRECT
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,3,0.9996423107778456,CORRECT
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1,0.9999999992373683,CORRECT
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1,0.999999847709733,CORRECT
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,6,0.9999999859426059,CORRECT
